Disease,Medications,Age Group,Dosage
Dengue,"Antibiotics, Antipyretics, Analgesics, IV fluids, Corticosteroids",51–60,Antibiotics: Minimum effective dose; Antipyretics: Minimum effective dose; Analgesics: Minimum effective dose; Iv Fluids: Minimum effective dose; Corticosteroids: Minimum effective dose
Dengue,"Antibiotics, Antipyretics, Analgesics, IV fluids, Corticosteroids",61–70,Antibiotics: Reduced dose or enhanced monitoring; Antipyretics: Reduced dose or enhanced monitoring; Analgesics: Reduced dose or enhanced monitoring; Iv Fluids: Reduced dose or enhanced monitoring; Corticosteroids: Reduced dose or enhanced monitoring
Typhoid,"Vaccination, Antiviral drugs, IV fluids, Blood transfusions, Liver transplant",18–30,Vaccination: Standard adult dose; Antiviral Drugs: Standard adult dose; Iv Fluids: Standard adult dose; Blood Transfusions: Standard adult dose; Liver Transplant: Standard adult dose
Typhoid,"Vaccination, Antiviral drugs, IV fluids, Blood transfusions, Liver transplant",31–40,"Vaccination: Standard dose, check tolerability; Antiviral Drugs: Standard dose, check tolerability; Iv Fluids: Standard dose, check tolerability; Blood Transfusions: Standard dose, check tolerability; Liver Transplant: Standard dose, check tolerability"
Typhoid,"Vaccination, Antiviral drugs, IV fluids, Blood transfusions, Liver transplant",41–50,"Vaccination: Standard dose, monitor early effects; Antiviral Drugs: Standard dose, monitor early effects; Iv Fluids: Standard dose, monitor early effects; Blood Transfusions: Standard dose, monitor early effects; Liver Transplant: Standard dose, monitor early effects"
Typhoid,"Vaccination, Antiviral drugs, IV fluids, Blood transfusions, Liver transplant",51–60,Vaccination: Minimum effective dose; Antiviral Drugs: Minimum effective dose; Iv Fluids: Minimum effective dose; Blood Transfusions: Minimum effective dose; Liver Transplant: Minimum effective dose
Typhoid,"Vaccination, Antiviral drugs, IV fluids, Blood transfusions, Liver transplant",61–70,Vaccination: Reduced dose or enhanced monitoring; Antiviral Drugs: Reduced dose or enhanced monitoring; Iv Fluids: Reduced dose or enhanced monitoring; Blood Transfusions: Reduced dose or enhanced monitoring; Liver Transplant: Reduced dose or enhanced monitoring
hepatitis A,"Vaccination, Antiviral drugs, IV fluids, Blood transfusions, Liver transplant",18–30,Vaccination: Standard adult dose; Antiviral Drugs: Standard adult dose; Iv Fluids: Standard adult dose; Blood Transfusions: Standard adult dose; Liver Transplant: Standard adult dose
hepatitis A,"Vaccination, Antiviral drugs, IV fluids, Blood transfusions, Liver transplant",31–40,"Vaccination: Standard dose, check tolerability; Antiviral Drugs: Standard dose, check tolerability; Iv Fluids: Standard dose, check tolerability; Blood Transfusions: Standard dose, check tolerability; Liver Transplant: Standard dose, check tolerability"
hepatitis A,"Vaccination, Antiviral drugs, IV fluids, Blood transfusions, Liver transplant",41–50,"Vaccination: Standard dose, monitor early effects; Antiviral Drugs: Standard dose, monitor early effects; Iv Fluids: Standard dose, monitor early effects; Blood Transfusions: Standard dose, monitor early effects; Liver Transplant: Standard dose, monitor early effects"
hepatitis A,"Vaccination, Antiviral drugs, IV fluids, Blood transfusions, Liver transplant",51–60,Vaccination: Minimum effective dose; Antiviral Drugs: Minimum effective dose; Iv Fluids: Minimum effective dose; Blood Transfusions: Minimum effective dose; Liver Transplant: Minimum effective dose
hepatitis A,"Vaccination, Antiviral drugs, IV fluids, Blood transfusions, Liver transplant",61–70,Vaccination: Reduced dose or enhanced monitoring; Antiviral Drugs: Reduced dose or enhanced monitoring; Iv Fluids: Reduced dose or enhanced monitoring; Blood Transfusions: Reduced dose or enhanced monitoring; Liver Transplant: Reduced dose or enhanced monitoring
Hepatitis B,"Antiviral drugs, IV fluids, Blood transfusions, Platelet transfusions, Liver transplant",18–30,Antiviral Drugs: Standard adult dose; Iv Fluids: Standard adult dose; Blood Transfusions: Standard adult dose; Platelet Transfusions: Standard adult dose; Liver Transplant: Standard adult dose
Hepatitis B,"Antiviral drugs, IV fluids, Blood transfusions, Platelet transfusions, Liver transplant",31–40,"Antiviral Drugs: Standard dose, check tolerability; Iv Fluids: Standard dose, check tolerability; Blood Transfusions: Standard dose, check tolerability; Platelet Transfusions: Standard dose, check tolerability; Liver Transplant: Standard dose, check tolerability"
Hepatitis B,"Antiviral drugs, IV fluids, Blood transfusions, Platelet transfusions, Liver transplant",41–50,"Antiviral Drugs: Standard dose, monitor early effects; Iv Fluids: Standard dose, monitor early effects; Blood Transfusions: Standard dose, monitor early effects; Platelet Transfusions: Standard dose, monitor early effects; Liver Transplant: Standard dose, monitor early effects"
Hepatitis B,"Antiviral drugs, IV fluids, Blood transfusions, Platelet transfusions, Liver transplant",51–60,Antiviral Drugs: Minimum effective dose; Iv Fluids: Minimum effective dose; Blood Transfusions: Minimum effective dose; Platelet Transfusions: Minimum effective dose; Liver Transplant: Minimum effective dose
Hepatitis B,"Antiviral drugs, IV fluids, Blood transfusions, Platelet transfusions, Liver transplant",61–70,Antiviral Drugs: Reduced dose or enhanced monitoring; Iv Fluids: Reduced dose or enhanced monitoring; Blood Transfusions: Reduced dose or enhanced monitoring; Platelet Transfusions: Reduced dose or enhanced monitoring; Liver Transplant: Reduced dose or enhanced monitoring
Hepatitis C,"Antiviral drugs, IV fluids, Blood transfusions, Platelet transfusions, Liver transplant",18–30,Antiviral Drugs: Standard adult dose; Iv Fluids: Standard adult dose; Blood Transfusions: Standard adult dose; Platelet Transfusions: Standard adult dose; Liver Transplant: Standard adult dose
Hepatitis C,"Antiviral drugs, IV fluids, Blood transfusions, Platelet transfusions, Liver transplant",31–40,"Antiviral Drugs: Standard dose, check tolerability; Iv Fluids: Standard dose, check tolerability; Blood Transfusions: Standard dose, check tolerability; Platelet Transfusions: Standard dose, check tolerability; Liver Transplant: Standard dose, check tolerability"
Hepatitis C,"Antiviral drugs, IV fluids, Blood transfusions, Platelet transfusions, Liver transplant",41–50,"Antiviral Drugs: Standard dose, monitor early effects; Iv Fluids: Standard dose, monitor early effects; Blood Transfusions: Standard dose, monitor early effects; Platelet Transfusions: Standard dose, monitor early effects; Liver Transplant: Standard dose, monitor early effects"
Hepatitis C,"Antiviral drugs, IV fluids, Blood transfusions, Platelet transfusions, Liver transplant",51–60,Antiviral Drugs: Minimum effective dose; Iv Fluids: Minimum effective dose; Blood Transfusions: Minimum effective dose; Platelet Transfusions: Minimum effective dose; Liver Transplant: Minimum effective dose
Hepatitis C,"Antiviral drugs, IV fluids, Blood transfusions, Platelet transfusions, Liver transplant",61–70,Antiviral Drugs: Reduced dose or enhanced monitoring; Iv Fluids: Reduced dose or enhanced monitoring; Blood Transfusions: Reduced dose or enhanced monitoring; Platelet Transfusions: Reduced dose or enhanced monitoring; Liver Transplant: Reduced dose or enhanced monitoring
Hepatitis D,"Antiviral drugs, IV fluids, Blood transfusions, Platelet transfusions, Liver transplant",18–30,Antiviral Drugs: Standard adult dose; Iv Fluids: Standard adult dose; Blood Transfusions: Standard adult dose; Platelet Transfusions: Standard adult dose; Liver Transplant: Standard adult dose
Hepatitis D,"Antiviral drugs, IV fluids, Blood transfusions, Platelet transfusions, Liver transplant",31–40,"Antiviral Drugs: Standard dose, check tolerability; Iv Fluids: Standard dose, check tolerability; Blood Transfusions: Standard dose, check tolerability; Platelet Transfusions: Standard dose, check tolerability; Liver Transplant: Standard dose, check tolerability"
Hepatitis D,"Antiviral drugs, IV fluids, Blood transfusions, Platelet transfusions, Liver transplant",41–50,"Antiviral Drugs: Standard dose, monitor early effects; Iv Fluids: Standard dose, monitor early effects; Blood Transfusions: Standard dose, monitor early effects; Platelet Transfusions: Standard dose, monitor early effects; Liver Transplant: Standard dose, monitor early effects"
Hepatitis D,"Antiviral drugs, IV fluids, Blood transfusions, Platelet transfusions, Liver transplant",51–60,Antiviral Drugs: Minimum effective dose; Iv Fluids: Minimum effective dose; Blood Transfusions: Minimum effective dose; Platelet Transfusions: Minimum effective dose; Liver Transplant: Minimum effective dose
Hepatitis D,"Antiviral drugs, IV fluids, Blood transfusions, Platelet transfusions, Liver transplant",61–70,Antiviral Drugs: Reduced dose or enhanced monitoring; Iv Fluids: Reduced dose or enhanced monitoring; Blood Transfusions: Reduced dose or enhanced monitoring; Platelet Transfusions: Reduced dose or enhanced monitoring; Liver Transplant: Reduced dose or enhanced monitoring
Hepatitis E,"Alcohol cessation, Corticosteroids, IV fluids, Liver transplant, Nutritional support",18–30,Alcohol Cessation: Standard adult dose; Corticosteroids: Standard adult dose; Iv Fluids: Standard adult dose; Liver Transplant: Standard adult dose; Nutritional Support: Standard adult dose
Hepatitis E,"Alcohol cessation, Corticosteroids, IV fluids, Liver transplant, Nutritional support",31–40,"Alcohol Cessation: Standard dose, check tolerability; Corticosteroids: Standard dose, check tolerability; Iv Fluids: Standard dose, check tolerability; Liver Transplant: Standard dose, check tolerability; Nutritional Support: Standard dose, check tolerability"
Hepatitis E,"Alcohol cessation, Corticosteroids, IV fluids, Liver transplant, Nutritional support",41–50,"Alcohol Cessation: Standard dose, monitor early effects; Corticosteroids: Standard dose, monitor early effects; Iv Fluids: Standard dose, monitor early effects; Liver Transplant: Standard dose, monitor early effects; Nutritional Support: Standard dose, monitor early effects"
Hepatitis E,"Alcohol cessation, Corticosteroids, IV fluids, Liver transplant, Nutritional support",51–60,Alcohol Cessation: Minimum effective dose; Corticosteroids: Minimum effective dose; Iv Fluids: Minimum effective dose; Liver Transplant: Minimum effective dose; Nutritional Support: Minimum effective dose
Hepatitis E,"Alcohol cessation, Corticosteroids, IV fluids, Liver transplant, Nutritional support",61–70,Alcohol Cessation: Reduced dose or enhanced monitoring; Corticosteroids: Reduced dose or enhanced monitoring; Iv Fluids: Reduced dose or enhanced monitoring; Liver Transplant: Reduced dose or enhanced monitoring; Nutritional Support: Reduced dose or enhanced monitoring
Alcoholic hepatitis,"Antibiotics, Isoniazid, Rifampin, Ethambutol, Pyrazinamide",18–30,Antibiotics: Standard adult dose; Isoniazid: Standard adult dose; Rifampin: Standard adult dose; Ethambutol: Standard adult dose; Pyrazinamide: Standard adult dose
Alcoholic hepatitis,"Antibiotics, Isoniazid, Rifampin, Ethambutol, Pyrazinamide",31–40,"Antibiotics: Standard dose, check tolerability; Isoniazid: Standard dose, check tolerability; Rifampin: Standard dose, check tolerability; Ethambutol: Standard dose, check tolerability; Pyrazinamide: Standard dose, check tolerability"
Alcoholic hepatitis,"Antibiotics, Isoniazid, Rifampin, Ethambutol, Pyrazinamide",41–50,"Antibiotics: Standard dose, monitor early effects; Isoniazid: Standard dose, monitor early effects; Rifampin: Standard dose, monitor early effects; Ethambutol: Standard dose, monitor early effects; Pyrazinamide: Standard dose, monitor early effects"
Alcoholic hepatitis,"Antibiotics, Isoniazid, Rifampin, Ethambutol, Pyrazinamide",51–60,Antibiotics: Minimum effective dose; Isoniazid: Minimum effective dose; Rifampin: Minimum effective dose; Ethambutol: Minimum effective dose; Pyrazinamide: Minimum effective dose
Alcoholic hepatitis,"Antibiotics, Isoniazid, Rifampin, Ethambutol, Pyrazinamide",61–70,Antibiotics: Reduced dose or enhanced monitoring; Isoniazid: Reduced dose or enhanced monitoring; Rifampin: Reduced dose or enhanced monitoring; Ethambutol: Reduced dose or enhanced monitoring; Pyrazinamide: Reduced dose or enhanced monitoring
Tuberculosis,"Antipyretics, Decongestants, Cough suppressants, Antihistamines, Pain relievers",18–30,Antipyretics: Standard adult dose; Decongestants: Standard adult dose; Cough Suppressants: Standard adult dose; Antihistamines: Standard adult dose; Pain Relievers: Standard adult dose
Tuberculosis,"Antipyretics, Decongestants, Cough suppressants, Antihistamines, Pain relievers",31–40,"Antipyretics: Standard dose, check tolerability; Decongestants: Standard dose, check tolerability; Cough Suppressants: Standard dose, check tolerability; Antihistamines: Standard dose, check tolerability; Pain Relievers: Standard dose, check tolerability"
Tuberculosis,"Antipyretics, Decongestants, Cough suppressants, Antihistamines, Pain relievers",41–50,"Antipyretics: Standard dose, monitor early effects; Decongestants: Standard dose, monitor early effects; Cough Suppressants: Standard dose, monitor early effects; Antihistamines: Standard dose, monitor early effects; Pain Relievers: Standard dose, monitor early effects"
Tuberculosis,"Antipyretics, Decongestants, Cough suppressants, Antihistamines, Pain relievers",51–60,Antipyretics: Minimum effective dose; Decongestants: Minimum effective dose; Cough Suppressants: Minimum effective dose; Antihistamines: Minimum effective dose; Pain Relievers: Minimum effective dose
Tuberculosis,"Antipyretics, Decongestants, Cough suppressants, Antihistamines, Pain relievers",61–70,Antipyretics: Reduced dose or enhanced monitoring; Decongestants: Reduced dose or enhanced monitoring; Cough Suppressants: Reduced dose or enhanced monitoring; Antihistamines: Reduced dose or enhanced monitoring; Pain Relievers: Reduced dose or enhanced monitoring
Common Cold,"Antibiotics, Antiviral drugs, Antifungal drugs, IV fluids, Oxygen therapy",18–30,Antibiotics: Standard adult dose; Antiviral Drugs: Standard adult dose; Antifungal Drugs: Standard adult dose; Iv Fluids: Standard adult dose; Oxygen Therapy: Standard adult dose
Common Cold,"Antibiotics, Antiviral drugs, Antifungal drugs, IV fluids, Oxygen therapy",31–40,"Antibiotics: Standard dose, check tolerability; Antiviral Drugs: Standard dose, check tolerability; Antifungal Drugs: Standard dose, check tolerability; Iv Fluids: Standard dose, check tolerability; Oxygen Therapy: Standard dose, check tolerability"
Common Cold,"Antibiotics, Antiviral drugs, Antifungal drugs, IV fluids, Oxygen therapy",41–50,"Antibiotics: Standard dose, monitor early effects; Antiviral Drugs: Standard dose, monitor early effects; Antifungal Drugs: Standard dose, monitor early effects; Iv Fluids: Standard dose, monitor early effects; Oxygen Therapy: Standard dose, monitor early effects"
Common Cold,"Antibiotics, Antiviral drugs, Antifungal drugs, IV fluids, Oxygen therapy",51–60,Antibiotics: Minimum effective dose; Antiviral Drugs: Minimum effective dose; Antifungal Drugs: Minimum effective dose; Iv Fluids: Minimum effective dose; Oxygen Therapy: Minimum effective dose
Common Cold,"Antibiotics, Antiviral drugs, Antifungal drugs, IV fluids, Oxygen therapy",61–70,Antibiotics: Reduced dose or enhanced monitoring; Antiviral Drugs: Reduced dose or enhanced monitoring; Antifungal Drugs: Reduced dose or enhanced monitoring; Iv Fluids: Reduced dose or enhanced monitoring; Oxygen Therapy: Reduced dose or enhanced monitoring
Pneumonia,"Laxatives, Pain relievers, Warm baths, Cold compresses, High-fiber diet",18–30,Laxatives: Standard adult dose; Pain Relievers: Standard adult dose; Warm Baths: Standard adult dose; Cold Compresses: Standard adult dose; High-Fiber Diet: Standard adult dose
Pneumonia,"Laxatives, Pain relievers, Warm baths, Cold compresses, High-fiber diet",31–40,"Laxatives: Standard dose, check tolerability; Pain Relievers: Standard dose, check tolerability; Warm Baths: Standard dose, check tolerability; Cold Compresses: Standard dose, check tolerability; High-Fiber Diet: Standard dose, check tolerability"
Pneumonia,"Laxatives, Pain relievers, Warm baths, Cold compresses, High-fiber diet",41–50,"Laxatives: Standard dose, monitor early effects; Pain Relievers: Standard dose, monitor early effects; Warm Baths: Standard dose, monitor early effects; Cold Compresses: Standard dose, monitor early effects; High-Fiber Diet: Standard dose, monitor early effects"
Pneumonia,"Laxatives, Pain relievers, Warm baths, Cold compresses, High-fiber diet",51–60,Laxatives: Minimum effective dose; Pain Relievers: Minimum effective dose; Warm Baths: Minimum effective dose; Cold Compresses: Minimum effective dose; High-Fiber Diet: Minimum effective dose
Pneumonia,"Laxatives, Pain relievers, Warm baths, Cold compresses, High-fiber diet",61–70,Laxatives: Reduced dose or enhanced monitoring; Pain Relievers: Reduced dose or enhanced monitoring; Warm Baths: Reduced dose or enhanced monitoring; Cold Compresses: Reduced dose or enhanced monitoring; High-Fiber Diet: Reduced dose or enhanced monitoring
Dimorphic hemmorhoids(piles),"Nitroglycerin, Aspirin, Beta-blockers, Calcium channel blockers, Thrombolytic drugs",18–30,Nitroglycerin: Standard adult dose; Aspirin: Standard adult dose; Beta-Blockers: Standard adult dose; Calcium Channel Blockers: Standard adult dose; Thrombolytic Drugs: Standard adult dose
Dimorphic hemmorhoids(piles),"Nitroglycerin, Aspirin, Beta-blockers, Calcium channel blockers, Thrombolytic drugs",31–40,"Nitroglycerin: Standard dose, check tolerability; Aspirin: Standard dose, check tolerability; Beta-Blockers: Standard dose, check tolerability; Calcium Channel Blockers: Standard dose, check tolerability; Thrombolytic Drugs: Standard dose, check tolerability"
Dimorphic hemmorhoids(piles),"Nitroglycerin, Aspirin, Beta-blockers, Calcium channel blockers, Thrombolytic drugs",41–50,"Nitroglycerin: Standard dose, monitor early effects; Aspirin: Standard dose, monitor early effects; Beta-Blockers: Standard dose, monitor early effects; Calcium Channel Blockers: Standard dose, monitor early effects; Thrombolytic Drugs: Standard dose, monitor early effects"
Dimorphic hemmorhoids(piles),"Nitroglycerin, Aspirin, Beta-blockers, Calcium channel blockers, Thrombolytic drugs",51–60,Nitroglycerin: Minimum effective dose; Aspirin: Minimum effective dose; Beta-Blockers: Minimum effective dose; Calcium Channel Blockers: Minimum effective dose; Thrombolytic Drugs: Minimum effective dose
Dimorphic hemmorhoids(piles),"Nitroglycerin, Aspirin, Beta-blockers, Calcium channel blockers, Thrombolytic drugs",61–70,Nitroglycerin: Reduced dose or enhanced monitoring; Aspirin: Reduced dose or enhanced monitoring; Beta-Blockers: Reduced dose or enhanced monitoring; Calcium Channel Blockers: Reduced dose or enhanced monitoring; Thrombolytic Drugs: Reduced dose or enhanced monitoring
Heart attack,"Compression stockings, Exercise, Elevating the legs, Sclerotherapy, Laser treatments",18–30,Compression Stockings: Standard adult dose; Exercise: Standard adult dose; Elevating The Legs: Standard adult dose; Sclerotherapy: Standard adult dose; Laser Treatments: Standard adult dose
Heart attack,"Compression stockings, Exercise, Elevating the legs, Sclerotherapy, Laser treatments",31–40,"Compression Stockings: Standard dose, check tolerability; Exercise: Standard dose, check tolerability; Elevating The Legs: Standard dose, check tolerability; Sclerotherapy: Standard dose, check tolerability; Laser Treatments: Standard dose, check tolerability"
Heart attack,"Compression stockings, Exercise, Elevating the legs, Sclerotherapy, Laser treatments",41–50,"Compression Stockings: Standard dose, monitor early effects; Exercise: Standard dose, monitor early effects; Elevating The Legs: Standard dose, monitor early effects; Sclerotherapy: Standard dose, monitor early effects; Laser Treatments: Standard dose, monitor early effects"
Heart attack,"Compression stockings, Exercise, Elevating the legs, Sclerotherapy, Laser treatments",51–60,Compression Stockings: Minimum effective dose; Exercise: Minimum effective dose; Elevating The Legs: Minimum effective dose; Sclerotherapy: Minimum effective dose; Laser Treatments: Minimum effective dose
Heart attack,"Compression stockings, Exercise, Elevating the legs, Sclerotherapy, Laser treatments",61–70,Compression Stockings: Reduced dose or enhanced monitoring; Exercise: Reduced dose or enhanced monitoring; Elevating The Legs: Reduced dose or enhanced monitoring; Sclerotherapy: Reduced dose or enhanced monitoring; Laser Treatments: Reduced dose or enhanced monitoring
Varicose veins,"Levothyroxine, Antithyroid medications, Beta-blockers, Radioactive iodine, Thyroid surgery",18–30,Levothyroxine: 50–75 mcg/day; Antithyroid Medications: Standard adult dose; Beta-Blockers: Standard adult dose; Radioactive Iodine: Standard adult dose; Thyroid Surgery: Standard adult dose
Varicose veins,"Levothyroxine, Antithyroid medications, Beta-blockers, Radioactive iodine, Thyroid surgery",31–40,"Levothyroxine: 50 mcg/day; Antithyroid Medications: Standard dose, check tolerability; Beta-Blockers: Standard dose, check tolerability; Radioactive Iodine: Standard dose, check tolerability; Thyroid Surgery: Standard dose, check tolerability"
Varicose veins,"Levothyroxine, Antithyroid medications, Beta-blockers, Radioactive iodine, Thyroid surgery",41–50,"Levothyroxine: 50 mcg/day, adjust by TSH; Antithyroid Medications: Standard dose, monitor early effects; Beta-Blockers: Standard dose, monitor early effects; Radioactive Iodine: Standard dose, monitor early effects; Thyroid Surgery: Standard dose, monitor early effects"
Varicose veins,"Levothyroxine, Antithyroid medications, Beta-blockers, Radioactive iodine, Thyroid surgery",51–60,"Levothyroxine: 25–50 mcg/day, monitor heart; Antithyroid Medications: Minimum effective dose; Beta-Blockers: Minimum effective dose; Radioactive Iodine: Minimum effective dose; Thyroid Surgery: Minimum effective dose"
Varicose veins,"Levothyroxine, Antithyroid medications, Beta-blockers, Radioactive iodine, Thyroid surgery",61–70,"Levothyroxine: 12.5–25 mcg/day, titrate slowly; Antithyroid Medications: Reduced dose or enhanced monitoring; Beta-Blockers: Reduced dose or enhanced monitoring; Radioactive Iodine: Reduced dose or enhanced monitoring; Thyroid Surgery: Reduced dose or enhanced monitoring"
Hypothyroidism,"Antithyroid medications, Radioactive iodine, Thyroid surgery, Beta-blockers, Corticosteroids",18–30,Antithyroid Medications: Standard adult dose; Radioactive Iodine: Standard adult dose; Thyroid Surgery: Standard adult dose; Beta-Blockers: Standard adult dose; Corticosteroids: Standard adult dose
Hypothyroidism,"Antithyroid medications, Radioactive iodine, Thyroid surgery, Beta-blockers, Corticosteroids",31–40,"Antithyroid Medications: Standard dose, check tolerability; Radioactive Iodine: Standard dose, check tolerability; Thyroid Surgery: Standard dose, check tolerability; Beta-Blockers: Standard dose, check tolerability; Corticosteroids: Standard dose, check tolerability"
Hypothyroidism,"Antithyroid medications, Radioactive iodine, Thyroid surgery, Beta-blockers, Corticosteroids",41–50,"Antithyroid Medications: Standard dose, monitor early effects; Radioactive Iodine: Standard dose, monitor early effects; Thyroid Surgery: Standard dose, monitor early effects; Beta-Blockers: Standard dose, monitor early effects; Corticosteroids: Standard dose, monitor early effects"
Hypothyroidism,"Antithyroid medications, Radioactive iodine, Thyroid surgery, Beta-blockers, Corticosteroids",51–60,Antithyroid Medications: Minimum effective dose; Radioactive Iodine: Minimum effective dose; Thyroid Surgery: Minimum effective dose; Beta-Blockers: Minimum effective dose; Corticosteroids: Minimum effective dose
Hypothyroidism,"Antithyroid medications, Radioactive iodine, Thyroid surgery, Beta-blockers, Corticosteroids",61–70,Antithyroid Medications: Reduced dose or enhanced monitoring; Radioactive Iodine: Reduced dose or enhanced monitoring; Thyroid Surgery: Reduced dose or enhanced monitoring; Beta-Blockers: Reduced dose or enhanced monitoring; Corticosteroids: Reduced dose or enhanced monitoring
Hyperthyroidism,"Glucose tablets, Candy or juice, Glucagon injection, IV dextrose, Diazoxide",18–30,Glucose Tablets: Standard adult dose; Candy Or Juice: Standard adult dose; Glucagon Injection: Standard adult dose; Iv Dextrose: Standard adult dose; Diazoxide: Standard adult dose
Hyperthyroidism,"Glucose tablets, Candy or juice, Glucagon injection, IV dextrose, Diazoxide",31–40,"Glucose Tablets: Standard dose, check tolerability; Candy Or Juice: Standard dose, check tolerability; Glucagon Injection: Standard dose, check tolerability; Iv Dextrose: Standard dose, check tolerability; Diazoxide: Standard dose, check tolerability"
Hyperthyroidism,"Glucose tablets, Candy or juice, Glucagon injection, IV dextrose, Diazoxide",41–50,"Glucose Tablets: Standard dose, monitor early effects; Candy Or Juice: Standard dose, monitor early effects; Glucagon Injection: Standard dose, monitor early effects; Iv Dextrose: Standard dose, monitor early effects; Diazoxide: Standard dose, monitor early effects"
Hyperthyroidism,"Glucose tablets, Candy or juice, Glucagon injection, IV dextrose, Diazoxide",51–60,Glucose Tablets: Minimum effective dose; Candy Or Juice: Minimum effective dose; Glucagon Injection: Minimum effective dose; Iv Dextrose: Minimum effective dose; Diazoxide: Minimum effective dose
Hyperthyroidism,"Glucose tablets, Candy or juice, Glucagon injection, IV dextrose, Diazoxide",61–70,Glucose Tablets: Reduced dose or enhanced monitoring; Candy Or Juice: Reduced dose or enhanced monitoring; Glucagon Injection: Reduced dose or enhanced monitoring; Iv Dextrose: Reduced dose or enhanced monitoring; Diazoxide: Reduced dose or enhanced monitoring
Hypoglycemia,"Pain relievers, Exercise, Hot and cold packs, Joint protection, Physical therapy",18–30,Pain Relievers: Standard adult dose; Exercise: Standard adult dose; Hot And Cold Packs: Standard adult dose; Joint Protection: Standard adult dose; Physical Therapy: Standard adult dose
Hypoglycemia,"Pain relievers, Exercise, Hot and cold packs, Joint protection, Physical therapy",31–40,"Pain Relievers: Standard dose, check tolerability; Exercise: Standard dose, check tolerability; Hot And Cold Packs: Standard dose, check tolerability; Joint Protection: Standard dose, check tolerability; Physical Therapy: Standard dose, check tolerability"
Hypoglycemia,"Pain relievers, Exercise, Hot and cold packs, Joint protection, Physical therapy",41–50,"Pain Relievers: Standard dose, monitor early effects; Exercise: Standard dose, monitor early effects; Hot And Cold Packs: Standard dose, monitor early effects; Joint Protection: Standard dose, monitor early effects; Physical Therapy: Standard dose, monitor early effects"
Hypoglycemia,"Pain relievers, Exercise, Hot and cold packs, Joint protection, Physical therapy",51–60,Pain Relievers: Minimum effective dose; Exercise: Minimum effective dose; Hot And Cold Packs: Minimum effective dose; Joint Protection: Minimum effective dose; Physical Therapy: Minimum effective dose
Hypoglycemia,"Pain relievers, Exercise, Hot and cold packs, Joint protection, Physical therapy",61–70,Pain Relievers: Reduced dose or enhanced monitoring; Exercise: Reduced dose or enhanced monitoring; Hot And Cold Packs: Reduced dose or enhanced monitoring; Joint Protection: Reduced dose or enhanced monitoring; Physical Therapy: Reduced dose or enhanced monitoring
Osteoarthristis,"NSAIDs, DMARDs, Biologics, Corticosteroids, Joint replacement surgery",18–30,Nsaids: Standard adult dose; Dmards: Standard adult dose; Biologics: Standard adult dose; Corticosteroids: Standard adult dose; Joint Replacement Surgery: Standard adult dose
Osteoarthristis,"NSAIDs, DMARDs, Biologics, Corticosteroids, Joint replacement surgery",31–40,"Nsaids: Standard dose, check tolerability; Dmards: Standard dose, check tolerability; Biologics: Standard dose, check tolerability; Corticosteroids: Standard dose, check tolerability; Joint Replacement Surgery: Standard dose, check tolerability"
Osteoarthristis,"NSAIDs, DMARDs, Biologics, Corticosteroids, Joint replacement surgery",41–50,"Nsaids: Standard dose, monitor early effects; Dmards: Standard dose, monitor early effects; Biologics: Standard dose, monitor early effects; Corticosteroids: Standard dose, monitor early effects; Joint Replacement Surgery: Standard dose, monitor early effects"
Osteoarthristis,"NSAIDs, DMARDs, Biologics, Corticosteroids, Joint replacement surgery",51–60,Nsaids: Minimum effective dose; Dmards: Minimum effective dose; Biologics: Minimum effective dose; Corticosteroids: Minimum effective dose; Joint Replacement Surgery: Minimum effective dose
Osteoarthristis,"NSAIDs, DMARDs, Biologics, Corticosteroids, Joint replacement surgery",61–70,Nsaids: Reduced dose or enhanced monitoring; Dmards: Reduced dose or enhanced monitoring; Biologics: Reduced dose or enhanced monitoring; Corticosteroids: Reduced dose or enhanced monitoring; Joint Replacement Surgery: Reduced dose or enhanced monitoring
Arthritis,"Vestibular rehabilitation, Canalith repositioning, Medications for nausea, Surgery, Home exercises",18–30,Vestibular Rehabilitation: Standard adult dose; Canalith Repositioning: Standard adult dose; Medications For Nausea: Standard adult dose; Surgery: Standard adult dose; Home Exercises: Standard adult dose
Arthritis,"Vestibular rehabilitation, Canalith repositioning, Medications for nausea, Surgery, Home exercises",31–40,"Vestibular Rehabilitation: Standard dose, check tolerability; Canalith Repositioning: Standard dose, check tolerability; Medications For Nausea: Standard dose, check tolerability; Surgery: Standard dose, check tolerability; Home Exercises: Standard dose, check tolerability"
Arthritis,"Vestibular rehabilitation, Canalith repositioning, Medications for nausea, Surgery, Home exercises",41–50,"Vestibular Rehabilitation: Standard dose, monitor early effects; Canalith Repositioning: Standard dose, monitor early effects; Medications For Nausea: Standard dose, monitor early effects; Surgery: Standard dose, monitor early effects; Home Exercises: Standard dose, monitor early effects"
Arthritis,"Vestibular rehabilitation, Canalith repositioning, Medications for nausea, Surgery, Home exercises",51–60,Vestibular Rehabilitation: Minimum effective dose; Canalith Repositioning: Minimum effective dose; Medications For Nausea: Minimum effective dose; Surgery: Minimum effective dose; Home Exercises: Minimum effective dose
